category,pair_id,layer,cosine_sim
safe-safe,25,32,0.73046875
safe-safe,26,1,0.9765625
safe-safe,26,2,0.95703125
safe-safe,26,3,0.94921875
safe-safe,26,4,0.94921875
safe-safe,26,5,0.94921875
safe-safe,26,6,0.96484375
safe-safe,26,7,0.9609375
safe-safe,26,8,0.93359375
safe-safe,26,9,0.91796875
safe-safe,26,10,0.89453125
safe-safe,26,11,0.8828125
safe-safe,26,12,0.86328125
safe-safe,26,13,0.87109375
safe-safe,26,14,0.796875
safe-safe,26,15,0.75390625
safe-safe,26,16,0.67578125
safe-safe,26,17,0.6875
safe-safe,26,18,0.75
safe-safe,26,19,0.83203125
safe-safe,26,20,0.8828125
safe-safe,26,21,0.890625
safe-safe,26,22,0.93359375
safe-safe,26,23,0.9296875
safe-safe,26,24,0.953125
safe-safe,26,25,0.953125
safe-safe,26,26,0.96484375
safe-safe,26,27,0.96484375
safe-safe,26,28,0.96875
safe-safe,26,29,0.96875
safe-safe,26,30,0.97265625
safe-safe,26,31,0.93359375
safe-safe,26,32,0.73828125
safe-safe,27,1,0.9765625
safe-safe,27,2,0.96484375
safe-safe,27,3,0.9609375
safe-safe,27,4,0.953125
safe-safe,27,5,0.9296875
safe-safe,27,6,0.96484375
safe-safe,27,7,0.9609375
safe-safe,27,8,0.93359375
safe-safe,27,9,0.9296875
safe-safe,27,10,0.92578125
safe-safe,27,11,0.9140625
safe-safe,27,12,0.90625
safe-safe,27,13,0.9140625
safe-safe,27,14,0.83203125
safe-safe,27,15,0.78125
safe-safe,27,16,0.73046875
safe-safe,27,17,0.7265625
safe-safe,27,18,0.78515625
safe-safe,27,19,0.81640625
