category,pair_id,layer,cosine_sim
unsafe-unsafe,17,21,0.890625
unsafe-unsafe,17,22,0.8828125
unsafe-unsafe,17,23,0.8203125
unsafe-unsafe,17,24,0.84765625
unsafe-unsafe,17,25,0.84375
unsafe-unsafe,17,26,0.88671875
unsafe-unsafe,17,27,0.890625
unsafe-unsafe,17,28,0.9296875
unsafe-unsafe,17,29,0.94140625
unsafe-unsafe,17,30,0.95703125
unsafe-unsafe,17,31,0.94140625
unsafe-unsafe,17,32,0.88671875
unsafe-unsafe,18,1,1.0
unsafe-unsafe,18,2,0.9921875
unsafe-unsafe,18,3,0.9921875
unsafe-unsafe,18,4,0.98046875
unsafe-unsafe,18,5,0.98046875
unsafe-unsafe,18,6,0.98828125
unsafe-unsafe,18,7,0.96875
unsafe-unsafe,18,8,0.953125
unsafe-unsafe,18,9,0.94140625
unsafe-unsafe,18,10,0.92578125
unsafe-unsafe,18,11,0.921875
unsafe-unsafe,18,12,0.91015625
unsafe-unsafe,18,13,0.90625
unsafe-unsafe,18,14,0.8515625
unsafe-unsafe,18,15,0.77734375
unsafe-unsafe,18,16,0.75
unsafe-unsafe,18,17,0.65625
unsafe-unsafe,18,18,0.53515625
unsafe-unsafe,18,19,0.6640625
unsafe-unsafe,18,20,0.55859375
unsafe-unsafe,18,21,0.52734375
unsafe-unsafe,18,22,0.6015625
unsafe-unsafe,18,23,0.4921875
unsafe-unsafe,18,24,0.546875
unsafe-unsafe,18,25,0.5625
unsafe-unsafe,18,26,0.67578125
unsafe-unsafe,18,27,0.69140625
unsafe-unsafe,18,28,0.80078125
unsafe-unsafe,18,29,0.83203125
unsafe-unsafe,18,30,0.8515625
unsafe-unsafe,18,31,0.8046875
unsafe-unsafe,18,32,0.56640625
unsafe-unsafe,19,1,0.98828125
unsafe-unsafe,19,2,0.9765625
unsafe-unsafe,19,3,0.98046875
unsafe-unsafe,19,4,0.96875
unsafe-unsafe,19,5,0.9765625
unsafe-unsafe,19,6,0.9765625
unsafe-unsafe,19,7,0.96484375
unsafe-unsafe,19,8,0.9453125
unsafe-unsafe,19,9,0.94140625
unsafe-unsafe,19,10,0.91796875
unsafe-unsafe,19,11,0.90234375
unsafe-unsafe,19,12,0.9140625
unsafe-unsafe,19,13,0.9140625
unsafe-unsafe,19,14,0.8671875
unsafe-unsafe,19,15,0.8359375
unsafe-unsafe,19,16,0.82421875
unsafe-unsafe,19,17,0.7890625
unsafe-unsafe,19,18,0.76171875
unsafe-unsafe,19,19,0.77734375
unsafe-unsafe,19,20,0.7265625
unsafe-unsafe,19,21,0.6953125
unsafe-unsafe,19,22,0.6875
unsafe-unsafe,19,23,0.6796875
unsafe-unsafe,19,24,0.65625
unsafe-unsafe,19,25,0.6015625
unsafe-unsafe,19,26,0.625
unsafe-unsafe,19,27,0.671875
unsafe-unsafe,19,28,0.765625
unsafe-unsafe,19,29,0.671875
unsafe-unsafe,19,30,0.796875
unsafe-unsafe,19,31,0.75390625
unsafe-unsafe,19,32,0.75390625
unsafe-unsafe,20,1,0.99609375
unsafe-unsafe,20,2,0.98828125
unsafe-unsafe,20,3,0.984375
unsafe-unsafe,20,4,0.9765625
unsafe-unsafe,20,5,0.9765625
unsafe-unsafe,20,6,0.98046875
unsafe-unsafe,20,7,0.96484375
unsafe-unsafe,20,8,0.9375
unsafe-unsafe,20,9,0.921875
unsafe-unsafe,20,10,0.88671875
unsafe-unsafe,20,11,0.86328125
unsafe-unsafe,20,12,0.83203125
unsafe-unsafe,20,13,0.83984375
unsafe-unsafe,20,14,0.75
unsafe-unsafe,20,15,0.70703125
unsafe-unsafe,20,16,0.7421875
unsafe-unsafe,20,17,0.73046875
unsafe-unsafe,20,18,0.73828125
unsafe-unsafe,20,19,0.8125
unsafe-unsafe,20,20,0.77734375
unsafe-unsafe,20,21,0.74609375
unsafe-unsafe,20,22,0.8125
unsafe-unsafe,20,23,0.8046875
unsafe-unsafe,20,24,0.83984375
unsafe-unsafe,20,25,0.859375
unsafe-unsafe,20,26,0.8984375
unsafe-unsafe,20,27,0.89453125
unsafe-unsafe,20,28,0.9140625
unsafe-unsafe,20,29,0.94140625
unsafe-unsafe,20,30,0.94140625
unsafe-unsafe,20,31,0.91015625
unsafe-unsafe,20,32,0.75
unsafe-unsafe,21,1,0.984375
unsafe-unsafe,21,2,0.96875
unsafe-unsafe,21,3,0.97265625
unsafe-unsafe,21,4,0.96484375
unsafe-unsafe,21,5,0.96484375
unsafe-unsafe,21,6,0.97265625
unsafe-unsafe,21,7,0.95703125
unsafe-unsafe,21,8,0.9375
unsafe-unsafe,21,9,0.9296875
unsafe-unsafe,21,10,0.92578125
unsafe-unsafe,21,11,0.90625
unsafe-unsafe,21,12,0.890625
unsafe-unsafe,21,13,0.89453125
unsafe-unsafe,21,14,0.83984375
unsafe-unsafe,21,15,0.80078125
unsafe-unsafe,21,16,0.74609375
unsafe-unsafe,21,17,0.76171875
unsafe-unsafe,21,18,0.7265625
unsafe-unsafe,21,19,0.765625
unsafe-unsafe,21,20,0.73828125
unsafe-unsafe,21,21,0.68359375
unsafe-unsafe,21,22,0.69921875
unsafe-unsafe,21,23,0.66796875
unsafe-unsafe,21,24,0.66015625
unsafe-unsafe,21,25,0.6640625
unsafe-unsafe,21,26,0.75390625
unsafe-unsafe,21,27,0.703125
unsafe-unsafe,21,28,0.8203125
unsafe-unsafe,21,29,0.87109375
unsafe-unsafe,21,30,0.890625
unsafe-unsafe,21,31,0.84375
unsafe-unsafe,21,32,0.6875
